Expiry,Strike,Maturity,Waarde
5,7,5,0.44
6,7,5,0.46
7,7,5,0.48
8,7,5,0.51
9,7,5,0.52
10,7,5,0.53
11,7,5,0.55
12,7,5,0.56
13,7,5,0.56
14,7,5,0.57
15,7,5,0.57
16,7,5,0.57
17,7,5,0.57
18,7,5,0.55
19,7,5,0.54
1,8,5,0.8
2,8,5,0.83
3,8,5,0.69
4,8,5,0.63
5,8,5,0.56
6,8,5,0.54
7,8,5,0.55
8,8,5,0.55
9,8,5,0.55
10,8,5,0.56
11,8,5,0.58
12,8,5,0.58
13,8,5,0.59
14,8,5,0.59
15,8,5,0.59
16,8,5,0.59
17,8,5,0.59
18,8,5,0.57
19,8,5,0.56
1,9,5,1.28
2,9,5,1.32
3,9,5,1.06
4,9,5,0.94
5,9,5,0.8
6,9,5,0.73
7,9,5,0.71
8,9,5,0.68
9,9,5,0.64
10,9,5,0.65
11,9,5,0.66
12,9,5,0.66
13,9,5,0.66
14,9,5,0.66
15,9,5,0.66
16,9,5,0.65
17,9,5,0.64
18,9,5,0.63
19,9,5,0.62
1,10,5,1.72
2,10,5,1.78
3,10,5,1.4
4,10,5,1.24
5,10,5,1.03
6,10,5,0.92
7,10,5,0.87
8,10,5,0.81
9,10,5,0.74
10,10,5,0.75
11,10,5,0.76
12,10,5,0.75
13,10,5,0.75
14,10,5,0.75
15,10,5,0.73
16,10,5,0.72
17,10,5,0.7
18,10,5,0.69
19,10,5,0.69
1,11,5,2.15
2,11,5,2.22
3,11,5,1.73
4,11,5,1.52
5,11,5,1.24
6,11,5,1.1
7,11,5,1.03
8,11,5,0.95
9,11,5,0.85
10,11,5,0.86
11,11,5,0.86
12,11,5,0.85
13,11,5,0.85
14,11,5,0.85
15,11,5,0.82
16,11,5,0.79
17,11,5,0.76
18,11,5,0.76
19,11,5,0.77
1,12,5,2.56
2,12,5,2.64
3,12,5,2.05
4,12,5,1.79
5,12,5,1.46
6,12,5,1.28
7,12,5,1.19
8,12,5,1.09
9,12,5,0.95
10,12,5,0.97
11,12,5,0.97
12,12,5,0.96
13,12,5,0.95
14,12,5,0.95
15,12,5,0.91
16,12,5,0.86
17,12,5,0.83
18,12,5,0.83
19,12,5,0.85
1,1,6,0.84
2,1,6,0.87
3,1,6,0.73
4,1,6,0.66
5,1,6,0.56
6,1,6,0.53
7,1,6,0.53
8,1,6,0.52
9,1,6,0.5
10,1,6,0.52
11,1,6,0.53
12,1,6,0.54
13,1,6,0.54
14,1,6,0.55
15,1,6,0.51
16,1,6,0.46
17,1,6,0.38
18,1,6,0.37
19,1,6,0.33
1,2,6,0.68
2,2,6,0.71
3,2,6,0.62
4,2,6,0.57
5,2,6,0.51
6,2,6,0.51
7,2,6,0.52
8,2,6,0.53
9,2,6,0.54
10,2,6,0.55
11,2,6,0.56
12,2,6,0.57
13,2,6,0.57
14,2,6,0.58
15,2,6,0.56
16,2,6,0.55
17,2,6,0.51
18,2,6,0.48
19,2,6,0.45
1,3,6,0.49
2,3,6,0.52
3,3,6,0.48
4,3,6,0.47
5,3,6,0.45
6,3,6,0.47
7,3,6,0.5
8,3,6,0.52
9,3,6,0.53
10,3,6,0.54
11,3,6,0.55
12,3,6,0.56
13,3,6,0.57
14,3,6,0.57
15,3,6,0.56
16,3,6,0.55
17,3,6,0.53
18,3,6,0.51
19,3,6,0.49
1,4,6,0.38
2,4,6,0.41
3,4,6,0.42
4,4,6,0.42
5,4,6,0.43
6,4,6,0.46
7,4,6,0.49
8,4,6,0.51
9,4,6,0.53
10,4,6,0.54
11,4,6,0.55
12,4,6,0.56
13,4,6,0.56
14,4,6,0.57
15,4,6,0.56
16,4,6,0.56
17,4,6,0.54
18,4,6,0.52
19,4,6,0.5
1,5,6,0.34
2,5,6,0.37
3,5,6,0.39
4,5,6,0.41
5,5,6,0.42
6,5,6,0.46
7,5,6,0.49
8,5,6,0.51
9,5,6,0.53
10,5,6,0.54
11,5,6,0.55
12,5,6,0.56
13,5,6,0.56
14,5,6,0.57
15,5,6,0.56
16,5,6,0.56
17,5,6,0.54
18,5,6,0.53
19,5,6,0.51
1,6,6,0.44
2,6,6,0.46
3,6,6,0.45
4,6,6,0.45
5,6,6,0.45
